Tabelle: 42111-0006
Beschäftigte und Umsatz der Betriebe im Verarbeitenden;;;;;;;;;;
Gewerbe: Deutschland, Monate, Wirtschaftszweige;;;;;;;;;;
(WZ2008 2-4-Steller Hierarchie);;;;;;;;;;
Monatsbericht im Verarbeitenden Gewerbe;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Betriebe;;;;;;;;;;;;;;;;;;;
;;Betriebe;;Beschäftigte;;Geleistete Arbeitsstunden;;Bruttolohn- und -gehaltssumme;;Umsatz;;Inlandsumsatz;;Auslandsumsatz;;Auslandsumsatz mit der Eurozone;;Auslandsumsatz mit dem sonstigen Ausland;
;;Anzahl;Anzahl;Anzahl;Anzahl;1000;1000;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR
2019;;;;;;;;;;;;;;;;;;;
2020;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2409;e;455226;e;60429;e;1259591;e;12442561;e;9392010;e;3050550;e;2108842;e;941709;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;402;e;101647;e;13697;e;347046;e;2528798;e;1693545;e;835253;e;597600;e;237653;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);125;e;36311;e;4705;e;112340;e;793055;e;469380;e;323674;e;234051;e;89623;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;9053;e;1287;e;32009;e;334987;e;216910;e;118077;e;81451;e;36625;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2428;e;456357;e;57345;e;1224397;e;11884930;e;9043163;e;2841767;e;1968141;e;873625;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;101036;e;12769;e;339801;e;2577009;e;1760871;e;816139;e;577545;e;238594;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35810;e;4412;e;108081;e;923677;e;584280;e;339397;e;245064;e;94333;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9127;e;1222;e;31785;e;327790;e;215728;e;112062;e;74522;e;37540;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2440;e;456652;e;59654;e;1285653;e;13920723;e;10710269;e;3210455;e;2212483;e;997972;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;100650;e;13225;e;357761;e;2928818;e;2050726;e;878091;e;616312;e;261780;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35387;e;4404;e;111091;e;910124;e;588959;e;321165;e;229246;e;91920;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9153;e;1276;e;35119;e;412155;e;279279;e;132875;e;91486;e;41389;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2445;e;450868;e;54988;e;1267425;e;11897199;e;9103102;e;2794097;e;1860066;e;934030;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;407;e;100085;e;12013;e;359629;e;2364882;e;1596858;e;768024;e;539126;e;228898;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;34890;e;3741;e;108941;e;642559;e;383223;e;259336;e;184814;e;74522;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9069;e;1192;e;34401;e;337908;e;228368;e;109541;e;73641;e;35900;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2441;e;447843;e;53825;e;1268014;e;11236498;e;8506175;e;2730323;e;1850517;e;879806;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;100133;e;11747;e;368696;e;2148597;e;1416009;e;732588;e;516404;e;216184;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35172;e;3688;e;124124;e;584853;e;335068;e;249785;e;182427;e;67358;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9086;e;1163;e;33366;e;282745;e;174858;e;107888;e;71980;e;35908;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2439;e;449581;e;55628;e;1277296;e;11660474;e;8831858;e;2828616;e;1939684;e;888932;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;407;e;100794;e;12169;e;350385;e;2347799;e;1581891;e;765908;e;529067;e;236842;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35706;e;3898;e;110605;e;649373;e;380653;e;268721;e;184739;e;83981;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9098;e;1195;e;33494;e;308887;e;195840;e;113047;e;74113;e;38934;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2437;e;453367;e;58402;e;1259860;e;12104724;e;9237971;e;2866753;e;1974883;e;891869;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;101264;e;12879;e;342334;e;2511761;e;1683556;e;828205;e;564878;e;263326;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;36341;e;4413;e;111925;e;750320;e;428983;e;321338;e;219069;e;102268;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8887;e;1201;e;31945;e;339883;e;223806;e;116077;e;74497;e;41581;e
August;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2437;e;457297;e;56245;e;1239820;e;11412674;e;8661808;e;2750867;e;1892217;e;858650;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;405;e;102258;e;12174;e;338940;e;2334243;e;1547892;e;786351;e;538322;e;248030;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;36856;e;4272;e;111815;e;774259;e;431360;e;342899;e;235390;e;107509;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8953;e;1135;e;31936;e;298511;e;196401;e;102111;e;68010;e;34100;e
September;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2436;e;458755;e;59081;e;1255739;e;12358353;e;9372761;e;2985592;e;2092840;e;892752;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;405;e;102825;e;13343;e;344039;e;2802858;e;1880879;e;921979;e;643645;e;278335;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;37083;e;4628;e;112961;e;1043573;e;607301;e;436273;e;308118;e;128155;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8928;e;1203;e;31534;e;336245;e;225755;e;110489;e;73675;e;36815;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2433;e;459141;e;59698;e;1300645;e;12779376;e;9773537;e;3005838;e;2116974;e;888865;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;404;e;102899;e;13498;e;351879;e;3056524;e;2123079;e;933445;e;668395;e;265050;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);125;e;37126;e;4669;e;117151;e;1150818;e;730996;e;419821;e;302217;e;117604;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8921;e;1220;e;32295;e;401873;e;286013;e;115860;e;81214;e;34646;e
November;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2430;e;458890;e;58757;e;1653144;e;12109765;e;9252727;e;2857037;e;2016271;e;840766;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;403;e;102930;e;13404;e;494579;e;2902663;e;1998750;e;903913;e;654431;e;249483;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);125;e;37095;e;4606;e;167446;e;1019541;e;639015;e;380525;e;275456;e;105069;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8846;e;1223;e;44657;e;380861;e;264459;e;116402;e;81594;e;34808;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2429;e;456808;e;56289;e;1338135;e;12396679;e;9647200;e;2749479;e;1893455;e;856024;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;403;e;101870;e;12011;e;368097;e;2564937;e;1782834;e;782103;e;540876;e;241227;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);125;e;35928;e;3868;e;121366;e;774592;e;459546;e;315046;e;215699;e;99347;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8812;e;1140;e;33062;e;350664;e;236724;e;113940;e;74283;e;39657;e
2021;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2337;e;458678;e;57284;e;1257345;e;10693613;e;8017619;e;2675994;e;1845209;e;830785;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;392;e;101094;e;12803;e;344739;e;2352662;e;1577315;e;775347;e;539294;e;236053;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;35429;e;4257;e;112271;e;754276;e;435334;e;318941;e;221686;e;97255;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8739;e;1174;e;30326;e;288661;e;193968;e;94693;e;62854;e;31839;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2355;e;461197;e;56583;e;1235588;e;11157424;e;8365204;e;2792221;e;1855409;e;936812;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;396;e;101273;e;12571;e;339300;e;2579352;e;1763894;e;815458;e;554811;e;260647;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;34844;e;4118;e;108167;e;923458;e;585749;e;337709;e;229412;e;108297;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8739;e;1170;e;30155;e;318196;e;214065;e;104131;e;66496;e;37636;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2364;e;463415;e;62139;e;1337085;e;13350283;e;10115536;e;3234747;e;2186128;e;1048620;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;100641;e;13667;e;367034;e;2883664;e;1963711;e;919953;e;617192;e;302762;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;34224;e;4406;e;111090;e;906061;e;563600;e;342462;e;227241;e;115221;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8764;e;1262;e;33596;e;365495;e;244333;e;121162;e;77335;e;43827;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2355;e;469856;e;58899;e;1336033;e;11431905;e;8557717;e;2874188;e;1941451;e;932737;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;100897;e;12328;e;354686;e;2410845;e;1601990;e;808855;e;551817;e;257037;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;34406;e;3894;e;107404;e;679063;e;391774;e;287288;e;195995;e;91293;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8725;e;1152;e;32605;e;339201;e;224315;e;114885;e;71180;e;43705;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2352;e;471102;e;57713;e;1373048;e;11576597;e;8669100;e;2907497;e;1972686;e;934811;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;101367;e;11957;e;380649;e;2331439;e;1537087;e;794352;e;546122;e;248230;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;34697;e;3791;e;119187;e;652743;e;365069;e;287674;e;190211;e;97462;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8737;e;1120;e;32598;e;324495;e;219138;e;105357;e;67850;e;37508;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2350;e;475148;e;61173;e;1386168;e;12086094;e;9057165;e;3028929;e;2039703;e;989226;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;101894;e;12844;e;373066;e;2514100;e;1656309;e;857791;e;571789;e;286002;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;35315;e;4198;e;114150;e;724018;e;409463;e;314555;e;202838;e;111717;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8748;e;1179;e;33302;e;307736;e;190210;e;117527;e;71804;e;45722;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2349;e;478023;e;61181;e;1356270;e;11875346;e;8868818;e;3006529;e;2020667;e;985862;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;102609;e;12647;e;359539;e;2495712;e;1634644;e;861068;e;564070;e;296999;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;35869;e;4231;e;114723;e;752042;e;432412;e;319630;e;196481;e;123148;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8762;e;1155;e;31390;e;335364;e;223477;e;111886;e;72881;e;39005;e
August;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2345;e;480318;e;60574;e;1345895;e;11965469;e;8933230;e;3032240;e;2036433;e;995807;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;103323;e;12464;e;354091;e;2550701;e;1657771;e;892930;e;585907;e;307023;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;36486;e;4293;e;115553;e;852555;e;481098;e;371457;e;235694;e;135763;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8774;e;1146;e;33629;e;333717;e;218771;e;114946;e;73602;e;41344;e
September;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2345;e;480784;e;62048;e;1339292;e;12801030;e;9497012;e;3304017;e;2206547;e;1097471;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;103966;e;13410;e;355340;e;2926480;e;1926016;e;1000464;e;673119;e;327345;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;36858;e;4646;e;116591;e;1066037;e;626393;e;439644;e;288831;e;150813;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8799;e;1174;e;31824;e;357451;e;232388;e;125063;e;81441;e;43622;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2344;e;479685;e;61297;e;1376854;e;12831383;e;9583748;e;3247635;e;2206019;e;1041616;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;103825;e;13243;e;362981;e;3060828;e;2055885;e;1004943;e;698119;e;306824;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);120;e;36997;e;4640;e;121137;e;1179967;e;733568;e;446399;e;306103;e;140296;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8818;e;1171;e;32624;e;366445;e;241517;e;124928;e;83550;e;41378;e
November;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2343;e;479855;e;63001;e;1770220;e;13330257;e;10021184;e;3309073;e;2233109;e;1075965;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;103814;e;13803;e;515057;e;3209190;e;2159564;e;1049626;e;712705;e;336921;e
